epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,613.45,0.84791,0.54483,0.9694,0.90844,0.86,0.92333,0.51515,1.56022,1.25146,1.26125,0.0014555,0.0014555,0.0014555
57,626.639,0.8845,0.54994,0.9853,0.93965,0.86,0.92608,0.51517,1.52195,1.16676,1.24434,0.0014456,0.0014456,0.0014456
58,634.659,0.87438,0.57061,0.98106,0.89615,0.86291,0.92028,0.5477,1.37586,1.02226,1.17801,0.0014357,0.0014357,0.0014357
59,647.288,0.89301,0.55742,0.9839,0.90397,0.84727,0.92409,0.54401,1.52482,1.14306,1.23235,0.0014258,0.0014258,0.0014258
60,655.854,0.87086,0.54913,0.95607,0.89876,0.91,0.93243,0.55422,1.51173,1.12822,1.23498,0.0014159,0.0014159,0.0014159
61,667.956,0.8272,0.52374,0.95997,0.92109,0.85,0.90555,0.50308,1.56781,1.29208,1.24894,0.001406,0.001406,0.001406
62,677.267,0.86731,0.51936,0.96135,0.95383,0.83,0.94483,0.54668,1.57773,0.92361,1.24446,0.0013961,0.0013961,0.0013961
63,688.057,0.8518,0.52724,0.966,0.8964,0.86527,0.93522,0.56008,1.47801,0.76737,1.21665,0.0013862,0.0013862,0.0013862
64,698.944,0.86885,0.52764,0.98605,0.87526,0.92,0.9427,0.52708,1.59609,0.78386,1.26096,0.0013763,0.0013763,0.0013763
65,708.519,0.87403,0.53676,0.97572,0.92628,0.87949,0.93776,0.53087,1.56897,0.75607,1.23016,0.0013664,0.0013664,0.0013664
66,720.99,0.86373,0.52546,0.97901,0.93312,0.86,0.90579,0.51245,1.62366,0.91663,1.29019,0.0013565,0.0013565,0.0013565
67,729.597,0.87096,0.53932,0.97034,0.91926,0.87,0.93785,0.55873,1.46277,0.93272,1.223,0.0013466,0.0013466,0.0013466
68,743.09,0.84416,0.51346,0.97768,0.95445,0.83822,0.92895,0.54264,1.52628,0.76209,1.26572,0.0013367,0.0013367,0.0013367
69,751.168,0.85336,0.50354,0.9783,0.91427,0.85319,0.92475,0.53337,1.48259,0.91409,1.22853,0.0013268,0.0013268,0.0013268
70,763.746,0.85757,0.50156,0.9733,0.90099,0.93,0.94018,0.54595,1.50818,1.10652,1.19816,0.0013169,0.0013169,0.0013169
71,772.383,0.84903,0.52246,0.96935,0.83879,0.91,0.93667,0.54068,1.57414,0.97385,1.23226,0.001307,0.001307,0.001307
72,784.124,0.8369,0.5108,0.97221,0.89601,0.86165,0.93559,0.54735,1.4519,0.84232,1.19205,0.0012971,0.0012971,0.0012971
73,794.485,0.79702,0.50109,0.95114,0.893,0.85,0.92106,0.52832,1.46077,0.90936,1.19311,0.0012872,0.0012872,0.0012872
74,804.599,0.80055,0.49933,0.94274,0.96017,0.87,0.95746,0.58037,1.38047,0.97927,1.16809,0.0012773,0.0012773,0.0012773
75,817.042,0.80633,0.48595,0.94395,0.95434,0.83599,0.94783,0.54397,1.54224,0.98291,1.23574,0.0012674,0.0012674,0.0012674
76,825.402,0.81019,0.5024,0.96164,0.9765,0.83103,0.9578,0.54824,1.57042,0.81872,1.2401,0.0012575,0.0012575,0.0012575
77,839.155,0.8161,0.49448,0.96365,1,0.89124,0.98119,0.58022,1.48413,0.78236,1.19522,0.0012476,0.0012476,0.0012476
78,847.32,0.79739,0.48076,0.94934,0.91639,0.87682,0.93099,0.53627,1.59186,1.03751,1.28164,0.0012377,0.0012377,0.0012377
79,859.673,0.79231,0.48164,0.94273,0.90702,0.87793,0.93485,0.52433,1.45876,0.96901,1.21248,0.0012278,0.0012278,0.0012278
80,868.859,0.82356,0.51366,0.96601,0.97792,0.88566,0.9448,0.58446,1.41811,0.96428,1.1864,0.0012179,0.0012179,0.0012179
81,880.672,0.79658,0.47157,0.94803,0.83542,0.91372,0.91653,0.51603,1.51451,1.04952,1.22919,0.001208,0.001208,0.001208
82,890.592,0.83034,0.49402,0.96518,0.95826,0.87,0.94488,0.53337,1.51533,1.04633,1.2193,0.0011981,0.0011981,0.0011981
83,900.656,0.79935,0.47811,0.94715,0.8884,0.84,0.88551,0.4873,1.44949,1.15147,1.24281,0.0011882,0.0011882,0.0011882
84,911.625,0.79929,0.47725,0.95653,0.94649,0.92,0.95761,0.57528,1.47068,0.8517,1.18795,0.0011783,0.0011783,0.0011783
85,921.003,0.76538,0.46287,0.95247,0.93374,0.84562,0.94777,0.5699,1.43204,1.00561,1.15593,0.0011684,0.0011684,0.0011684
86,933.496,0.76573,0.45805,0.93364,0.93551,0.85,0.93264,0.57025,1.3532,0.88662,1.16632,0.0011585,0.0011585,0.0011585
87,942.118,0.74939,0.46145,0.93563,0.95535,0.85584,0.93375,0.55133,1.44488,0.96478,1.16251,0.0011486,0.0011486,0.0011486
88,954.884,0.76658,0.45882,0.94177,0.96922,0.86,0.95237,0.5787,1.41683,0.99136,1.15433,0.0011387,0.0011387,0.0011387
89,963.012,0.75638,0.45352,0.93198,0.92172,0.84,0.93282,0.56685,1.48742,0.96148,1.1797,0.0011288,0.0011288,0.0011288
90,976.665,0.79836,0.46888,0.93609,0.90288,0.87,0.90781,0.54078,1.39395,1.12596,1.17533,0.0011189,0.0011189,0.0011189
91,984.866,0.78614,0.4619,0.94808,0.91734,0.9,0.9428,0.57418,1.54151,1.08523,1.20815,0.001109,0.001109,0.001109
92,997.657,0.75884,0.45396,0.92202,0.90886,0.89747,0.93897,0.55379,1.50986,1.30724,1.21978,0.0010991,0.0010991,0.0010991
93,1006.66,0.73562,0.45121,0.93754,0.9381,0.90925,0.9478,0.56523,1.47213,1.24625,1.20832,0.0010892,0.0010892,0.0010892
94,1017.76,0.73187,0.44225,0.92472,0.89807,0.92,0.93571,0.56404,1.45404,1.09286,1.1935,0.0010793,0.0010793,0.0010793
95,1027.98,0.72065,0.43307,0.92398,0.91304,0.83997,0.90545,0.54637,1.44732,1.19073,1.21049,0.0010694,0.0010694,0.0010694
96,1037.8,0.73711,0.44724,0.93358,0.95519,0.88,0.94657,0.58425,1.42923,1.14003,1.20744,0.0010595,0.0010595,0.0010595
97,1049.77,0.78957,0.46223,0.9558,0.91002,0.91018,0.9421,0.56382,1.36413,1.26947,1.17926,0.0010496,0.0010496,0.0010496
98,1058.79,0.70554,0.43628,0.92741,0.92034,0.93,0.94239,0.57055,1.41928,1.27351,1.19944,0.0010397,0.0010397,0.0010397
99,1071.1,0.71865,0.42653,0.93821,0.89548,0.94244,0.9415,0.55865,1.40629,1.33508,1.23375,0.0010298,0.0010298,0.0010298
100,1079.39,0.73092,0.44844,0.94015,0.95618,0.87,0.92858,0.55419,1.44996,1.2156,1.2059,0.0010199,0.0010199,0.0010199
101,1093.44,0.73253,0.44249,0.94004,0.96763,0.89673,0.95194,0.56263,1.35844,0.81199,1.19412,0.00101,0.00101,0.00101
102,1101.64,0.74107,0.4465,0.94517,0.954,0.88,0.9395,0.57296,1.38525,0.8831,1.16534,0.0010001,0.0010001,0.0010001
103,1114.24,0.72053,0.4285,0.93315,0.91565,0.9,0.92422,0.5548,1.33431,1.03589,1.18938,0.0009902,0.0009902,0.0009902
104,1123.34,0.71835,0.44233,0.92667,0.91818,0.89776,0.93029,0.55145,1.3676,0.94062,1.18048,0.0009803,0.0009803,0.0009803
105,1134.15,0.70405,0.43086,0.92547,0.92999,0.89,0.9314,0.54945,1.40241,1.12751,1.16925,0.0009704,0.0009704,0.0009704
106,1144.74,0.69891,0.42052,0.91255,0.92693,0.88802,0.93534,0.56979,1.37474,1.05707,1.14238,0.0009605,0.0009605,0.0009605
107,1153.89,0.66995,0.41196,0.91542,0.93545,0.88,0.94447,0.57206,1.40766,1.051,1.16312,0.0009506,0.0009506,0.0009506
108,1166.5,0.70015,0.41674,0.92516,0.85623,0.91,0.93145,0.56281,1.31911,1.00684,1.14374,0.0009407,0.0009407,0.0009407
109,1174.95,0.70944,0.42152,0.9217,0.94386,0.84064,0.93858,0.54553,1.38867,1.05782,1.18986,0.0009308,0.0009308,0.0009308
