epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,1860.37,0.97812,0.57451,1.01833,0.91158,0.92786,0.97213,0.62438,1.30972,0.8725,1.13054,0.0010496,0.0010496,0.0010496
98,1877.37,0.97158,0.56148,1.01471,0.93571,0.87323,0.95296,0.60576,1.33095,0.90718,1.12086,0.0010397,0.0010397,0.0010397
99,1894.24,0.95478,0.55838,0.99828,0.92798,0.90201,0.96149,0.6199,1.24031,0.77456,1.09023,0.0010298,0.0010298,0.0010298
100,1911.01,0.9414,0.54748,1.01363,0.85134,0.85902,0.90725,0.55115,1.3199,1.16015,1.14355,0.0010199,0.0010199,0.0010199
101,1927.54,0.98237,0.55479,1.00592,0.96593,0.88,0.96187,0.60869,1.25432,0.73085,1.11091,0.00101,0.00101,0.00101
102,1944.72,0.96219,0.54571,1.00735,0.92976,0.93,0.97408,0.62838,1.18138,0.67808,1.09511,0.0010001,0.0010001,0.0010001
103,1962.38,0.94202,0.54004,0.99378,0.96341,0.87,0.95758,0.62395,1.16468,0.75463,1.06852,0.0009902,0.0009902,0.0009902
104,1979.55,0.99339,0.55128,1.00778,0.90366,0.93803,0.97381,0.6422,1.26918,0.72915,1.08382,0.0009803,0.0009803,0.0009803
105,1997.66,0.98057,0.5474,0.99952,0.93935,0.93,0.9575,0.61897,1.24227,0.71037,1.0925,0.0009704,0.0009704,0.0009704
106,2014.68,0.97261,0.54085,1.00751,0.91711,0.93,0.96235,0.63148,1.23392,0.75361,1.09512,0.0009605,0.0009605,0.0009605
107,2031.74,0.91087,0.53356,0.98337,0.93037,0.93536,0.95341,0.6236,1.28442,0.79439,1.122,0.0009506,0.0009506,0.0009506
108,2049.02,0.96538,0.5308,1.00572,0.90492,0.92,0.95813,0.63103,1.24585,0.79613,1.10758,0.0009407,0.0009407,0.0009407
109,2066.04,0.94877,0.5331,1.00145,0.89531,0.93,0.95665,0.6113,1.26273,0.7326,1.11444,0.0009308,0.0009308,0.0009308
110,2083.26,0.91754,0.52059,0.98191,0.94889,0.89,0.96737,0.65096,1.21583,0.77117,1.09211,0.0009209,0.0009209,0.0009209
111,2101.85,0.91343,0.51515,0.99622,0.9671,0.89,0.95579,0.61675,1.24269,0.90187,1.08941,0.000911,0.000911,0.000911
112,2119.62,0.94805,0.52352,0.98524,0.98542,0.88,0.97408,0.64199,1.3101,0.65164,1.11318,0.0009011,0.0009011,0.0009011
113,2136.52,0.88812,0.49823,0.98623,0.9512,0.9,0.96657,0.62131,1.3081,0.77057,1.09167,0.0008912,0.0008912,0.0008912
114,2153.93,0.88957,0.50287,0.97782,0.94975,0.94507,0.9731,0.64005,1.28534,0.7775,1.08764,0.0008813,0.0008813,0.0008813
115,2170.95,0.91703,0.54394,0.994,0.96593,0.91,0.96716,0.63587,1.27207,0.70825,1.09055,0.0008714,0.0008714,0.0008714
116,2188.25,0.89746,0.50238,0.97151,0.91369,0.9528,0.96482,0.62132,1.2812,0.72053,1.11189,0.0008615,0.0008615,0.0008615
117,2205.62,0.88829,0.50868,0.97737,0.95839,0.95,0.96589,0.62383,1.30944,0.76347,1.10734,0.0008516,0.0008516,0.0008516
118,2223.19,0.91309,0.50462,0.99321,0.94887,0.92786,0.95563,0.61306,1.25342,0.68174,1.10216,0.0008417,0.0008417,0.0008417
119,2240.02,0.88063,0.4943,0.97461,0.91925,0.94,0.96459,0.62136,1.26927,0.70368,1.09751,0.0008318,0.0008318,0.0008318
120,2257.08,0.89208,0.50707,0.98331,0.96726,0.8863,0.95671,0.60622,1.30554,0.84435,1.10708,0.0008219,0.0008219,0.0008219
121,2274.44,0.90174,0.49194,0.98361,0.94738,0.90018,0.96487,0.62828,1.22286,0.72611,1.0909,0.000812,0.000812,0.000812
122,2291.66,0.88331,0.48836,0.96416,0.92594,0.94,0.97238,0.61268,1.22534,0.7335,1.08131,0.0008021,0.0008021,0.0008021
123,2308.83,0.87272,0.47926,0.96613,0.95864,0.92716,0.9639,0.62782,1.26812,0.65612,1.09969,0.0007922,0.0007922,0.0007922
124,2326.07,0.87061,0.48554,0.97078,0.93882,0.92073,0.96855,0.62357,1.26787,0.67415,1.10541,0.0007823,0.0007823,0.0007823
125,2343.56,0.8814,0.48714,0.97998,0.93635,0.91,0.96464,0.62395,1.29608,0.74012,1.12205,0.0007724,0.0007724,0.0007724
126,2360.73,0.85574,0.48773,0.96985,0.96133,0.93,0.96969,0.63167,1.29867,0.70121,1.12262,0.0007625,0.0007625,0.0007625
127,2378.03,0.85384,0.47648,0.95573,0.96525,0.93,0.95984,0.60172,1.30943,0.73493,1.13274,0.0007526,0.0007526,0.0007526
128,2395.03,0.86795,0.49813,0.961,0.92382,0.94,0.9709,0.6265,1.25623,0.64157,1.12282,0.0007427,0.0007427,0.0007427
129,2411.7,0.84825,0.47986,0.95529,0.96868,0.91,0.97747,0.61705,1.2958,0.70999,1.14129,0.0007328,0.0007328,0.0007328
130,2428.59,0.8755,0.48137,0.97888,0.97814,0.89476,0.96654,0.61612,1.26644,0.6614,1.14287,0.0007229,0.0007229,0.0007229
131,2445.42,0.83495,0.47472,0.94915,0.95658,0.88117,0.96245,0.59884,1.37168,0.78091,1.16615,0.000713,0.000713,0.000713
132,2462.93,0.8626,0.46806,0.96457,0.93915,0.9261,0.97031,0.61844,1.30931,0.6969,1.14435,0.0007031,0.0007031,0.0007031
133,2479.62,0.83203,0.48027,0.96765,0.9587,0.93,0.97476,0.61902,1.29455,0.71257,1.13431,0.0006932,0.0006932,0.0006932
134,2496.52,0.8366,0.46521,0.97088,0.95685,0.88703,0.96935,0.59811,1.29643,0.66594,1.13227,0.0006833,0.0006833,0.0006833
135,2513.91,0.85221,0.47001,0.96645,0.92624,0.93,0.97637,0.61049,1.2815,0.6409,1.12823,0.0006734,0.0006734,0.0006734
136,2530.72,0.83166,0.47282,0.95915,0.9664,0.91,0.9624,0.60918,1.25222,0.7017,1.11528,0.0006635,0.0006635,0.0006635
137,2548.07,0.81167,0.45747,0.94854,0.93993,0.93888,0.97547,0.61948,1.22439,0.65443,1.10382,0.0006536,0.0006536,0.0006536
138,2564.8,0.8203,0.46125,0.95074,0.90057,0.94,0.9646,0.6104,1.27381,0.69183,1.10796,0.0006437,0.0006437,0.0006437
139,2581.74,0.80376,0.45815,0.93652,0.96783,0.90249,0.96484,0.62308,1.23394,0.60272,1.08752,0.0006338,0.0006338,0.0006338
140,2598.67,0.79079,0.44467,0.96046,0.93875,0.91963,0.95678,0.62123,1.25524,0.65403,1.09996,0.0006239,0.0006239,0.0006239
141,2615.88,0.79877,0.44866,0.94659,0.92248,0.91,0.95962,0.6218,1.27637,0.7104,1.11159,0.000614,0.000614,0.000614
142,2632.79,0.80058,0.44777,0.94361,0.94689,0.92,0.96149,0.60297,1.33737,0.75608,1.14567,0.0006041,0.0006041,0.0006041
143,2649.76,0.792,0.44231,0.9313,0.94596,0.93,0.96454,0.60801,1.33991,0.70181,1.13087,0.0005942,0.0005942,0.0005942
144,2666.64,0.79971,0.45107,0.95008,0.93429,0.88,0.93536,0.5945,1.34031,0.85154,1.14478,0.0005843,0.0005843,0.0005843
145,2683.53,0.78106,0.44459,0.944,0.96849,0.9,0.95668,0.60888,1.31101,0.65761,1.13052,0.0005744,0.0005744,0.0005744
146,2700.39,0.81244,0.44687,0.95743,0.96095,0.92,0.95792,0.61115,1.31758,0.68128,1.14927,0.0005645,0.0005645,0.0005645
147,2717.01,0.77799,0.44628,0.94935,0.97822,0.89831,0.95504,0.60223,1.31112,0.7206,1.14672,0.0005546,0.0005546,0.0005546
148,2733.9,0.76272,0.43033,0.93328,0.96846,0.92104,0.97778,0.62404,1.28981,0.59365,1.11223,0.0005447,0.0005447,0.0005447
149,2751.3,0.76908,0.43602,0.94215,0.93056,0.93807,0.9741,0.63483,1.29262,0.63834,1.10109,0.0005348,0.0005348,0.0005348
150,2768.28,0.80165,0.44412,0.95801,0.90562,0.91,0.9519,0.60684,1.30096,0.68909,1.1151,0.0005249,0.0005249,0.0005249
151,2785.47,0.79344,0.43745,0.93902,0.94837,0.91852,0.95907,0.61858,1.27532,0.63343,1.11087,0.000515,0.000515,0.000515
152,2802.49,0.77204,0.41864,0.93869,0.9222,0.93,0.96402,0.61622,1.24839,0.63314,1.09802,0.0005051,0.0005051,0.0005051
153,2819.46,0.79451,0.42927,0.9383,0.94641,0.92,0.95153,0.61171,1.22682,0.62897,1.10812,0.0004952,0.0004952,0.0004952
154,2836.63,0.77542,0.43693,0.94841,0.93934,0.93,0.95891,0.60515,1.27698,0.75212,1.12489,0.0004853,0.0004853,0.0004853
155,2854.73,0.76611,0.43215,0.93285,0.95495,0.9,0.95843,0.60108,1.27325,0.77431,1.12134,0.0004754,0.0004754,0.0004754
156,2872.41,0.75092,0.43133,0.9398,0.95502,0.94,0.96579,0.63049,1.23814,0.72184,1.09855,0.0004655,0.0004655,0.0004655
157,2889.93,0.76086,0.42225,0.93465,0.95859,0.92602,0.95768,0.62479,1.2642,0.75816,1.09821,0.0004556,0.0004556,0.0004556
158,2907.26,0.75135,0.42914,0.93649,0.96729,0.9,0.95324,0.61231,1.29281,0.74843,1.13896,0.0004457,0.0004457,0.0004457
159,2924.76,0.71469,0.40544,0.92135,0.96835,0.91788,0.95665,0.61814,1.23622,0.73021,1.10161,0.0004358,0.0004358,0.0004358
160,2941.91,0.7145,0.40496,0.92505,0.95874,0.9294,0.97521,0.63989,1.17334,0.59915,1.07778,0.0004259,0.0004259,0.0004259
161,2959.01,0.72774,0.40851,0.92662,0.95831,0.91941,0.97196,0.63952,1.20375,0.63607,1.09511,0.000416,0.000416,0.000416
162,2976.02,0.75278,0.41598,0.92766,0.94943,0.93873,0.96962,0.64281,1.25213,0.6276,1.10125,0.0004061,0.0004061,0.0004061
163,2993.17,0.73152,0.40801,0.92624,0.93997,0.93956,0.974,0.6341,1.24995,0.64514,1.10729,0.0003962,0.0003962,0.0003962
164,3010.06,0.69229,0.39251,0.91819,0.95839,0.91,0.9741,0.63077,1.28194,0.61392,1.11839,0.0003863,0.0003863,0.0003863
165,3026.92,0.74159,0.41024,0.93914,0.94864,0.94,0.96359,0.63578,1.25339,0.625,1.14364,0.0003764,0.0003764,0.0003764
166,3043.82,0.70644,0.39355,0.92014,0.94784,0.93,0.96058,0.63277,1.28162,0.66567,1.14571,0.0003665,0.0003665,0.0003665
