epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,828.071,0.84579,0.51113,0.97478,0.98663,0.87,0.95968,0.57047,1.44591,0.76946,1.17007,0.0013268,0.0013268,0.0013268
70,837.353,0.80659,0.48437,0.95325,0.9358,0.87463,0.94495,0.5566,1.44865,0.77536,1.21997,0.0013169,0.0013169,0.0013169
71,851.798,0.85022,0.51077,0.97862,0.88851,0.9,0.91197,0.54575,1.48061,0.75313,1.22207,0.001307,0.001307,0.001307
72,861.509,0.8112,0.50358,0.96951,0.88467,0.9,0.92132,0.56467,1.38866,0.74159,1.18155,0.0012971,0.0012971,0.0012971
73,875.258,0.78617,0.47701,0.94439,0.94559,0.86904,0.92704,0.53151,1.48127,0.83096,1.209,0.0012872,0.0012872,0.0012872
74,884.41,0.79246,0.48988,0.94559,0.93891,0.88,0.94827,0.568,1.40973,0.84404,1.20329,0.0012773,0.0012773,0.0012773
75,898.416,0.80081,0.47323,0.94674,0.97015,0.89,0.95424,0.55761,1.44184,0.85548,1.20787,0.0012674,0.0012674,0.0012674
76,908.177,0.7876,0.47881,0.96385,0.92468,0.85941,0.91989,0.54296,1.40357,0.80739,1.20248,0.0012575,0.0012575,0.0012575
77,921.645,0.82047,0.49388,0.9868,0.96023,0.9,0.95667,0.55469,1.43738,0.7444,1.19164,0.0012476,0.0012476,0.0012476
78,930.968,0.78765,0.469,0.9527,0.95599,0.86884,0.94572,0.55434,1.4544,0.7795,1.19266,0.0012377,0.0012377,0.0012377
79,944.985,0.80382,0.47606,0.94813,0.93611,0.82,0.93052,0.54802,1.44064,0.75823,1.1872,0.0012278,0.0012278,0.0012278
80,954.254,0.82261,0.50769,0.96432,0.95683,0.88668,0.94781,0.57157,1.45808,0.90296,1.20397,0.0012179,0.0012179,0.0012179
81,968.816,0.77214,0.46234,0.94051,0.89283,0.84,0.90528,0.52613,1.55962,1.26591,1.24702,0.001208,0.001208,0.001208
82,978.232,0.76497,0.46379,0.94183,0.96465,0.85,0.92698,0.56301,1.47902,0.98281,1.1987,0.0011981,0.0011981,0.0011981
83,991.722,0.78641,0.48448,0.94519,0.9333,0.83952,0.90748,0.54657,1.4083,1.09047,1.19475,0.0011882,0.0011882,0.0011882
84,1001.47,0.77247,0.46506,0.94172,0.97722,0.85791,0.954,0.56927,1.41747,0.72434,1.16131,0.0011783,0.0011783,0.0011783
85,1015.3,0.76875,0.46095,0.95641,0.98609,0.83,0.93463,0.56703,1.40144,0.77827,1.16625,0.0011684,0.0011684,0.0011684
86,1024.97,0.73885,0.45305,0.92777,0.92653,0.88277,0.95553,0.55252,1.37278,0.69806,1.1748,0.0011585,0.0011585,0.0011585
87,1038.31,0.73001,0.44846,0.93158,0.9803,0.87,0.95513,0.57362,1.39244,0.67929,1.17227,0.0011486,0.0011486,0.0011486
88,1047.91,0.74707,0.4523,0.93967,0.9475,0.92,0.95285,0.58382,1.34041,0.68634,1.15407,0.0011387,0.0011387,0.0011387
89,1061.81,0.73943,0.44691,0.93986,0.97072,0.85,0.94926,0.58169,1.34373,0.72259,1.15152,0.0011288,0.0011288,0.0011288
90,1071.5,0.74585,0.44761,0.93247,0.98836,0.84905,0.94838,0.54742,1.47957,0.74306,1.21205,0.0011189,0.0011189,0.0011189
91,1085.02,0.74763,0.43822,0.94438,0.95572,0.87,0.95581,0.57855,1.39647,0.72181,1.18485,0.001109,0.001109,0.001109
92,1094.93,0.71539,0.43683,0.91971,1,0.88699,0.97921,0.59549,1.34148,0.59415,1.17055,0.0010991,0.0010991,0.0010991
93,1108.72,0.72574,0.43614,0.9391,0.97624,0.86,0.96263,0.58689,1.35348,0.71705,1.1713,0.0010892,0.0010892,0.0010892
94,1118.45,0.70168,0.419,0.91891,0.96734,0.88847,0.96158,0.58048,1.43059,0.70814,1.19925,0.0010793,0.0010793,0.0010793
95,1131.91,0.70993,0.42173,0.92033,0.96672,0.8715,0.95362,0.57388,1.49603,0.76585,1.19653,0.0010694,0.0010694,0.0010694
96,1141.89,0.72463,0.43715,0.9303,0.98733,0.86,0.95883,0.58587,1.43272,0.80646,1.17925,0.0010595,0.0010595,0.0010595
97,1155.16,0.77519,0.44889,0.95747,0.92944,0.84,0.93802,0.54519,1.45531,0.89467,1.20928,0.0010496,0.0010496,0.0010496
98,1165.11,0.71336,0.44135,0.93387,0.92578,0.89,0.94361,0.57056,1.44898,0.80567,1.21334,0.0010397,0.0010397,0.0010397
